name,price
adidas Yeezy Boost 350 V2 Blue Tint,$335
adidas Yeezy Boost 350 V2 Beluga 2.0,$339
Jordan 11 RetroWin Like 96,$233
adidas Yeezy Powerphase Calabasas Grey,$145
adidas Ultra Boost 4.0 Triple Black,$194
Jordan 11 RetroUNC Win Like 82,$230
adidas Yeezy Boost 350 V2 Cream White,$435
adidas Yeezy Boost 350 V2 Zebra,$514
Jordan 1 RetroRoyal (2017),$244
Jordan 11 RetroSpace Jam (2016),$230
adidas NMD R1Japan Triple White,$150
Jordan 6 RetroGatorade Green,$272
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,$584
Air Max 97Silver Bullet (2016/2017),$195
Air Max 90Off-White,$640
adidas Yeezy Wave Runner 700 Solid Grey,$725
Air PrestoOff-White,"$1,090"
adidas Ultra Boost 4.0 Chinese New Year (2018),$210
adidas NMD XR1OG Black,$133
Jordan 1 Retro High Off-White Chicago,"$1,485"
Jordan 3 RetroTrue Blue (2016),$139
adidas Ultra Boost 4.0 Running White,$155
adidas Yeezy Boost 350 V2 Black Red,$790
adidas Yeezy Powerphase Calabasas Core White,$224
Jordan 4 RetroKaws Black,$770
"Jordan 1 RetroBred ""Banned"" (2016)",$199
Jordan 13 RetroAltitude (2017),$130
Jordan 1 Retro High Gatorade Cyber,$180
adidas NMD R1Japan Triple Black,$255
Air Max 1Anniversary Red (2017 Restock Pair),$135
adidas Ultra Boost 4.0 A Ma Maniere x Invincible Merino Wool,$190
Jordan 6 RetroGatorade Like Mike White,$154
Jordan 11 RetroHeiress Black Stingray (GS),$180
adidas Ultra Boost Mid Kith x Nonnative,$155
Jordan 13 RetroBred (2017),$179
Kyrie 4Confetti,$260
Air Max 97Off-White,$665
Jordan 11 RetroLegend Blue (2014),$247
Nike Zoom FlyOff-White,$500
LeBron 15 Lifestyle KITH Stained Glass,$249
